b*,h*
1.94,2.5245
1.95,2.5231
1.96,2.5216
1.97,2.5202
1.98,2.5187
1.99,2.5172
2,2.5156
2.01,2.514
2.02,2.5124
2.03,2.5108
2.04,2.5092
2.05,2.5075
2.06,2.5058
2.07,2.5041
2.08,2.5023
2.09,2.5006
2.1,2.4988
2.11,2.4969
2.12,2.4951
2.13,2.4932
2.14,2.4913
2.15,2.4894
2.16,2.4875
2.17,2.4855
2.18,2.4836
2.19,2.4816
2.2,2.4796
2.21,2.4775
2.22,2.4755
2.23,2.4734
2.24,2.4713
2.25,2.4692
2.26,2.467
2.27,2.4649
2.28,2.4627
2.29,2.4605
2.3,2.4583
2.3076,2.4564
2.3319,2.4498
2.3525,2.4438
2.3842,2.4343
2.416,2.4242
2.4496,2.4133
2.472,2.4062
2.5113,2.3933
2.5374,2.385
2.5655,2.3745
2.6047,2.3606
2.629,2.3532
2.657,2.3438
2.6813,2.336
2.7037,2.3282
2.721,2.321
2.7378,2.314
2.7519,2.3084
2.7757,2.2984
2.7939,2.2914
2.8121,2.2831
2.8331,2.274
2.8527,2.2649
2.8696,2.2565
2.8892,2.2468
2.913,2.2353
2.9368,2.2227
2.9593,2.2101
2.9789,2.2002
3.0027,2.1864
3.0335,2.1694
3.0602,2.1525
3.098,2.1273
3.1344,2.0992
3.1568,2.0836
3.1863,2.0585
3.2087,2.0389
3.2227,2.0235
3.2311,2.0164
3.2381,2.0093
