b*,h*,V*
2.3,0.11043,0.93017
2.31,0.10888,0.93017
2.32,0.11046,0.94017
2.33,0.11068,0.94018
2.34,0.11064,0.94018
2.35,0.11241,0.95017
2.36,0.11254,0.95019
2.37,0.11166,0.95018
2.38,0.11489,0.96018
2.39,0.11358,0.96025
2.4,0.11204,0.96023
2.41,0.11571,0.97019
2.42,0.11314,0.97028
2.43,0.11785,0.98029
2.44,0.11541,0.98018
2.45,0.11494,0.98025
2.46,0.11805,0.9902
2.47,0.11793,0.99018
2.48,0.12081,1.0002
2.49,0.12025,1.0002
2.5,0.12217,1.0102
2.51,0.12159,1.0102
2.52,0.12532,1.0202
2.53,0.12732,1.0302
2.54,0.12734,1.0302
2.55,0.13003,1.0402
2.56,0.12922,1.0402
2.57,0.13268,1.0502
2.58,0.13172,1.0502
2.59,0.13383,1.0602
2.6,0.13728,1.0703
2.61,0.13685,1.0702
2.62,0.13591,1.0702
2.63,0.13874,1.0802
2.64,0.13832,1.0802
2.65,0.1414,1.0902
2.66,0.14051,1.0904
2.67,0.1436,1.1003
2.68,0.14289,1.1002
2.69,0.14555,1.1103
2.7,0.1455,1.1102
2.71,0.14823,1.1203
2.72,0.14763,1.1204
2.73,0.15061,1.1302
2.74,0.14966,1.1302
2.75,0.15148,1.1402
2.76,0.15503,1.1502
2.77,0.15931,1.1603
2.78,0.15774,1.1602
2.79,0.16189,1.1703
2.8,0.15612,1.1602
2.81,0.15999,1.1703
2.82,0.15913,1.1702
2.83,0.15771,1.1702
2.84,0.16114,1.1802
2.85,0.15948,1.1802
2.86,0.16051,1.1803
2.87,0.16344,1.1902
2.88,0.16257,1.1902
2.89,0.16048,1.1902
2.9,0.16176,1.1904
2.91,0.16486,1.2002
2.92,0.1638,1.2002
2.93,0.16212,1.2002
2.94,0.16561,1.2103
2.95,0.16399,1.2081
2.96,0.16951,1.2202
2.97,0.16434,1.2103
2.98,0.16716,1.2203
2.99,0.16673,1.2202
3,0.17874,1.2502
3.01,0.18129,1.2603
3.02,0.18149,1.2602
3.03,0.18391,1.2702
3.04,0.18335,1.2703
3.05,0.18751,1.2802
3.06,0.18717,1.2804
3.07,0.18615,1.2802
3.08,0.18898,1.2902
3.09,0.18809,1.2903
3.1,0.18792,1.2903
3.11,0.19171,1.3003
3.12,0.19154,1.3002
3.13,0.19526,1.3104
3.14,0.19326,1.3103
3.15,0.19396,1.3103
3.16,0.1972,1.3202
3.17,0.19511,1.3203
3.18,0.19612,1.3202
3.19,0.19929,1.3304
3.2,0.19894,1.3303
3.21,0.19889,1.3304
3.22,0.20233,1.3404
3.23,0.20047,1.3403
3.24,0.20144,1.3404
